config,sex,age,body_type,load_kg,motion,lumbar_bio_peak,lumbar_loaded_peak,shoulder_bio_peak,shoulder_total_peak,elbow_bio_peak,elbow_total_peak
no_suit,female,middle,heavy,10,neutral_stoop_down_R_002__A082,68.63461256,68.63461256,29.25483368,29.25483368,29.011322680000003,29.011322680000003
no_suit,female,middle,heavy,20,neutral_stoop_down_R_002__A073,195.51762264,195.51762264,47.11699108,47.11699108,53.712413915000006,53.712413915000006
no_suit,female,middle,heavy,20,neutral_stoop_down_R_002__A079,86.9166,86.9166,43.494721665,43.494721665,53.130337745000006,53.130337745000006
no_suit,female,middle,heavy,20,neutral_stoop_down_R_002__A074,135.18572766,135.18572766,42.332861835,42.332861835,53.33199125,53.33199125
no_suit,female,middle,heavy,20,neutral_stoop_down_R_002__A075,171.9499401,171.9499401,38.59433719,38.59433719,52.075477545000005,52.075477545000005
no_suit,female,middle,heavy,20,neutral_stoop_down_R_002__A076,161.5937032,161.5937032,43.824624625,43.824624625,53.953483905000006,53.953483905000006
no_suit,female,middle,heavy,20,neutral_stoop_down_R_001__A077,185.96370638000002,185.96370638000002,56.998707355,56.998707355,58.90508961500001,58.90508961500001
no_suit,female,middle,heavy,20,neutral_stoop_down_R_001__A078,124.56734912,124.56734912,37.52493414,37.52493414,52.3395141,52.3395141
no_suit,female,middle,heavy,20,neutral_stoop_down_R_001__A080,130.610973,130.610973,45.94734181,45.94734181,53.48271597,53.48271597
no_suit,female,middle,heavy,20,neutral_stoop_down_R_001__A081,122.72222084,122.72222084,37.428438615,37.428438615,52.0083138,52.0083138
no_suit,female,middle,heavy,20,neutral_stoop_down_R_002__A082,112.09291256,112.09291256,43.96983368,43.96983368,53.536322680000005,53.536322680000005
no_suit,female,middle,heavy,30,neutral_stoop_down_R_002__A073,238.97592264,238.97592264,61.83199108,61.83199108,78.237413915,78.237413915
no_suit,female,middle,heavy,30,neutral_stoop_down_R_002__A079,130.3749,130.3749,58.209721665000004,58.209721665000004,77.655337745,77.655337745
no_suit,female,middle,heavy,30,neutral_stoop_down_R_002__A074,178.64402766,178.64402766,57.047861835000006,57.047861835000006,77.85699125000001,77.85699125000001
no_suit,female,middle,heavy,30,neutral_stoop_down_R_002__A075,215.4082401,215.4082401,53.30933719,53.30933719,76.600477545,76.600477545
no_suit,female,middle,heavy,30,neutral_stoop_down_R_002__A076,205.0520032,205.0520032,58.539624625,58.539624625,78.478483905,78.478483905
no_suit,female,middle,heavy,30,neutral_stoop_down_R_001__A077,229.42200638,229.42200638,71.713707355,71.713707355,83.430089615,83.430089615
no_suit,female,middle,heavy,30,neutral_stoop_down_R_001__A078,168.02564912,168.02564912,52.23993414,52.23993414,76.86451410000001,76.86451410000001
no_suit,female,middle,heavy,30,neutral_stoop_down_R_001__A080,174.069273,174.069273,60.66234181,60.66234181,78.00771597,78.00771597
no_suit,female,middle,heavy,30,neutral_stoop_down_R_001__A081,166.18052083999999,166.18052083999999,52.143438615,52.143438615,76.5333138,76.5333138
no_suit,female,middle,heavy,30,neutral_stoop_down_R_002__A082,155.55121256,155.55121256,58.684833680000004,58.684833680000004,78.06132268,78.06132268
no_suit,female,senior,slim,10,neutral_stoop_down_R_002__A073,131.43969854,131.43969854,28.39976679,28.39976679,28.15451807,28.15451807
no_suit,female,senior,slim,10,neutral_stoop_down_R_002__A079,43.4583,43.4583,25.631306275,25.631306275,27.713542735,27.713542735
no_suit,female,senior,slim,10,neutral_stoop_down_R_002__A074,85.24308171,85.24308171,24.742905735,24.742905735,27.855006315,27.855006315
no_suit,female,senior,slim,10,neutral_stoop_down_R_002__A075,113.73722085,113.73722085,21.8621957,21.8621957,26.858059845000003,26.858059845000003
no_suit,female,senior,slim,10,neutral_stoop_down_R_002__A076,103.79877472999999,103.79877472999999,25.91101017,25.91101017,28.330340745,28.330340745
no_suit,female,senior,slim,10,neutral_stoop_down_R_001__A077,122.90972518000001,122.90972518000001,36.177134755,36.177134755,32.191059675000005,32.191059675000005
no_suit,female,senior,slim,10,neutral_stoop_down_R_001__A078,74.51958678,74.51958678,20.985244445,20.985244445,27.084066855000003,27.084066855000003
no_suit,female,senior,slim,10,neutral_stoop_down_R_001__A080,79.92665758999999,79.92665758999999,27.59174816,27.59174816,27.99765146,27.99765146
no_suit,female,senior,slim,10,neutral_stoop_down_R_001__A081,75.80698635,75.80698635,20.931355085,20.931355085,26.824763105000002,26.824763105000002
no_suit,female,senior,slim,10,neutral_stoop_down_R_002__A082,66.92885775,66.92885775,26.064782835,26.064782835,28.012750580000002,28.012750580000002
no_suit,female,senior,slim,20,neutral_stoop_down_R_002__A073,174.89799854,174.89799854,43.114766790000004,43.114766790000004,52.67951807000001,52.67951807000001
no_suit,female,senior,slim,20,neutral_stoop_down_R_002__A079,86.9166,86.9166,40.346306275,40.346306275,52.238542735,52.238542735
no_suit,female,senior,slim,20,neutral_stoop_down_R_002__A074,128.70138171,128.70138171,39.457905735,39.457905735,52.380006315,52.380006315
no_suit,female,senior,slim,20,neutral_stoop_down_R_002__A075,157.19552085,157.19552085,36.5771957,36.5771957,51.383059845000005,51.383059845000005
no_suit,female,senior,slim,20,neutral_stoop_down_R_002__A076,147.25707473,147.25707473,40.62601017,40.62601017,52.85534074500001,52.85534074500001
no_suit,female,senior,slim,20,neutral_stoop_down_R_001__A077,166.36802518000002,166.36802518000002,50.892134755,50.892134755,56.716059675000004,56.716059675000004
